PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
195869804,19006872,99,2019-01-11T12:08:00,"1900 Block Clayton Ave Pittsburgh, PA 15214",Y,Perry South,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2614,6,1,-80.0104732553481,40.4617547834478
-3232000685,19006154,6,2019-01-10T10:24:00,"6100 Block Meadow St Pittsburgh, PA 15206",N,Bloomfield,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,809,,,0,0
195787455,19006306,11,2019-01-10T14:00:00,"700 Block Fordham St Pittsburgh, PA 15226",N,Brookline,6,CREDIT CARDS,4106 Access Device Fraud,1918,4,5,-80.0245454829902,40.3923880436619
195730219,19005963,15,2019-01-10T00:37:00,"Cedar Ave & East Ohio St Pittsburgh, PA 15212",Y,Allegheny Center,1,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 1301 Registration and Certificate of Title Required.",2204,1,1,-80.0016971625207,40.4533202108365
195745968,19006086,0,2019-01-10T07:15:00,"400 Block Boggs Ave Pittsburgh, PA 15211",N,Mount Washington,3,99,9999 9999 - (Misc. Incident): ,1915,2,5,-80.0091461574319,40.4242467362925
195793784,19006359,27,2019-01-10T14:55:00,"Winterburn Ave & Greenfield Ave Pittsburgh, PA 15207",N,Greenfield,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1516,5,3,-79.939790758984,40.4261952323929
195795689,19006379,0,2019-01-10T16:30:00,"Centre Ave & Bellefield Ave Pittsburgh, PA 15213",N,North Oakland,4,99,9999 9999 - (Misc. Incident): ,403,8,3,-79.9540501093434,40.4512861578774
195811339,19006450,10,2019-01-10T13:12:00,"200 Block S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT,4952 Intimidation of Witnesses or Victims / 2709 Harassment (Non-Specific),1702,6,6,-79.9983462929082,40.4437221622586
195813593,19006380,0,2019-01-10T17:15:00,"6500 Block Penn Ave Pittsburgh, PA 15206",Y,Shadyside,4,99,9999 (Misc. Crime): ,708,8,2,-79.9154018964274,40.4560843779368
195820652,19006508,6,2019-01-10T18:00:00,"500 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,7,2,-79.9435820869511,40.464893357809
195820688,19006315,18,2019-01-10T15:37:00,"900 Block Arlington Ave Pittsburgh, PA 15203",Y,Allentown,3,STOLEN PROPERTY - OTHER,"13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm",1803,3,5,-79.9906704048294,40.4252318859871
195824661,19006446,14,2019-01-10T16:31:00,"1400 Block Muldowney Ave Pittsburgh, PA 15207",N,Lincoln Place,4,INJURY/TAMP/FIRE APP-HYD-ETC,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),3102,5,3,-79.9133324592229,40.3684287399287
195831890,19006589,10,2019-01-11T00:39:00,"200 Block Hillside Dr Pittsburgh, PA 15219",N,Crawford-Roberts,2,SIMPLE ASSAULT,2701 Simple Assault.,305,,,0,0
195832203,19006562,18,2019-01-10T23:00:00,"1200 Block Sheffield St Pittsburgh, PA 15233",Y,Manchester,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 9090 Recovered Firearm,2107,6,1,-80.0227497678265,40.4538946562779
195832454,19006626,10,2019-01-11T01:48:00,"300 Block Wood St Pittsburgh, PA 15222",Y,Central Business District,2,TERRORISTIC THREATS,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats.,201,6,6,-80.001253904992,40.4389258459612
195833418,19006573,1,2019-01-10T23:56:00,"200 Block Glenwood Ave Pittsburgh, PA 15207",N,Hazelwood,4,CRIMINAL HOMICIDE,2501 Criminal Homicide.,1515,5,3,-79.9388808045147,40.4013401328403
195833963,19006642,5,2019-01-11T01:30:00,"100 Block Southern Ave Pittsburgh, PA 15211",N,Mount Washington,3,BURGLARY,3502 Burglary.,1915,2,5,-80.0091664211536,40.4270489146546
195757731,19006147,99,2019-01-10T10:00:00,"1300 Block Malvern Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1401,8,3,-79.9350974131044,40.4420747938673
195834283,19006681,99,2019-01-11T04:43:00,"800 Block N Lincoln Ave Pittsburgh, PA 15233",N,Allegheny West,1,FALSE BURGLAR ALARM,9488 False  Burglar Alarm,2201,9,2,-79.9044733442736,40.4631911894881
195835212,19006638,4,2019-01-11T02:18:00,"Brookline Blvd & Stebbins Ave Pittsburgh, PA 15226",Y,Brookline,6,AGG-ASSAULT,2702 Aggravated Assault. / 3301 Driving on Right Side of Roadway. / 3802(a)(1) DUI - General Impairment,1918,4,5,-80.0190730888949,40.3930824602892
195810792,19006280,99,2019-01-10T14:14:00,"200 Block Lelia St Pittsburgh, PA 15211",N,Mount Washington,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1915,2,5,-80.0102731357711,40.4218733133314
195831697,19006555,99,2019-01-10T22:48:00,"10 Block E North Ave Pittsburgh, PA 15212",N,Central North Side,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2206,1,1,-80.0061461533418,40.4558516535202
-2803001944,19006616,17,2019-01-11T01:30:00,Zone 5,N,,5,INDECENT ASSAULT,3126 Indecent Assault. / 4304(a)(1) Endangering Welfare of Children.,,,,,
195735502,19005982,0,2019-01-10T01:24:00,"900 Block Bellefonte St Pittsburgh, OH 15232",Y,Shadyside,4,DUI - GENERAL IMPAIRMENT,3736 Reckless Driving / 503.04 Traffic Control Devices / 3802(a)(1) DUI - General Impairment / 3361  Driving Vehicle at Safe Speed.,703,8,2,-79.9333457548352,40.4502687683464
195765652,19006174,0,2019-01-10T10:40:00,"1400 Block Eckert St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner / 2709.2 Stalking Conduct or Repeatedly Communicates,2715,1,1,-80.0324771320877,40.4715360646098
195768500,19006122,99,2019-01-10T09:06:00,"7100 Block Frankstown Ave Pittsburgh, PA 15208",Y,Homewood South,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1303,9,2,-79.8985004674126,40.4578978331942
195857330,19006798,0,2019-01-11T09:35:00,"400 Block Enright Ct Pittsburgh, PA 15206",N,East Liberty,5,99,9999 9999 - (Misc. Incident): Publisher's Clearing House Scam Call,1115,9,2,-79.9165703561378,40.4609408109421
195857386,19006765,6,2019-01-11T09:00:00,"100 Block Penfort St Pittsburgh, PA 15214",N,Northview Heights,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2609,,,0,0
195858707,19006578,0,2019-01-11T00:08:00,"S 17th St & Wrights Way Pittsburgh, PA 15203",Y,South Side Flats,3,99,601.16 Public Urination And Defecation,1702,3,3,-79.9820004605367,40.4293278332121
195859699,19006586,0,2019-01-11T00:21:00,"1700 Block Wrights Way Pittsburgh, PA 15203",Y,South Side Flats,3,99,601.16 Public Urination And Defecation,1702,3,3,-79.9819655495836,40.429317364612
195861589,19006601,0,2019-01-11T00:56:00,"S 14th St & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,99,601.16 Public Urination And Defecation,1702,3,3,-79.9841490514312,40.42880715024
195864625,19006373,27,2019-01-10T17:00:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Point Breeze,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 1501 Drivers Required to be Licensed. / 3742.1 Accident Involv. Death/Inj. While not Licensed / 3736 Reckless Driving / 1543 Driving While Operating Privilege is Suspended or Revoked.,201,6,6,-79.9960409452176,40.4350395659104
195731995,19005971,3,2019-01-10T00:55:00,"2400 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,ROBBERY,3701 Robbery.,509,6,3,-79.9746251357847,40.4498408057687
195735873,19006061,99,2019-01-10T02:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.0219684615574,40.4512177173984
-3232000698,19006201,99,2019-01-10T11:40:00,"1200 Block Album St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,MISCELLANEOUS FIRE VEH INVEST CONTINUED,9122 Miscellaneous Fire Vehicle Investigation to Continue,1203,9,2,-79.9038827071428,40.4686952100575
195800612,19006364,0,2019-01-10T16:55:00,"2300 Block Mission St Pittsburgh, PA 15203",N,South Side Slopes,3,99,9999 9999 - (Misc. Incident): ,1608,3,3,-79.9737338419255,40.4230255035514
195809247,19006389,6,2019-01-10T17:21:00,"Oakland Sq & Parkview Ave Pittsburgh, PA 15213",N,Central Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,406,3,3,-79.9514405498417,40.436940775922
